accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,datetime
2018135A20768,2018,135A20768,418262,430011,-1.724443,53.766146,West Yorkshire,Slight,1,1,2018-10-02,Tuesday,13:08:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010817,2018-10-02T12:08:00Z
2018135A21420,2018,135A21420,414476,434456,-1.78167,53.806215,West Yorkshire,Slight,1,1,2018-10-02,Tuesday,14:20:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010807,2018-10-02T13:20:00Z
2018135A30204,2018,135A30204,415953,429361,-1.759504,53.760379,West Yorkshire,Slight,2,1,2018-10-03,Wednesday,05:40:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010746,2018-10-03T04:40:00Z
2018135A31596,2018,135A31596,411105,435422,-1.832822,53.814979,West Yorkshire,Fatal,2,1,2018-10-03,Wednesday,19:45:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,20,Other junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010672,2018-10-03T18:45:00Z
2018135A40231,2018,135A40231,413834,434802,-1.791403,53.809342,West Yorkshire,Slight,2,1,2018-10-04,Thursday,06:15:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010804,2018-10-04T05:15:00Z
2018135A40256,2018,135A40256,415219,436473,-1.770289,53.824322,West Yorkshire,Slight,2,1,2018-10-06,Saturday,06:50:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010777,2018-10-06T05:50:00Z
2018135A40461,2018,135A40461,416123,428451,-1.756973,53.752195,West Yorkshire,Slight,2,2,2018-10-04,Thursday,09:30:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010865,2018-10-04T08:30:00Z
2018135A41078,2018,135A41078,416073,432352,-1.757529,53.787258,West Yorkshire,Slight,1,1,2018-10-14,Sunday,14:38:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010731,2018-10-14T13:38:00Z
2018135A41535,2018,135A41535,416100,446838,-1.756366,53.917454,West Yorkshire,Slight,2,2,2018-10-04,Thursday,18:00:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010768,2018-10-04T17:00:00Z
2018135A50450,2018,135A50450,415854,428834,-1.761033,53.755645,West Yorkshire,Slight,2,1,2018-10-05,Friday,08:50:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010866,2018-10-05T07:50:00Z
